label,format,games,username,game_id,color,ply,rtt_ms,applied_bytes,warmup
e1-5,binary,5,bot_1,205,w,1,21.59,25,0
e1-5,binary,5,bot_1,205,w,3,5.75,25,0
e1-5,binary,5,bot_1,205,w,5,5.05,25,0
e1-5,binary,5,bot_1,205,w,7,3.75,25,0
e1-5,binary,5,bot_1,205,w,9,3.23,25,0
e1-5,binary,5,bot_1,205,w,11,4.09,25,0
e1-5,binary,5,bot_1,205,w,13,94.74,25,0
e1-5,binary,5,bot_1,205,w,15,6.29,25,0
e1-5,binary,5,bot_1,205,w,17,6.72,25,0
e1-5,binary,5,bot_1,205,w,19,8.06,25,0
e1-5,binary,5,bot_1,205,w,21,6.44,25,0
e1-5,binary,5,bot_1,205,w,23,7.24,25,0
e1-5,binary,5,bot_1,205,w,25,18.14,25,0
e1-5,binary,5,bot_1,205,w,27,18.06,25,0
e1-5,binary,5,bot_1,205,w,29,34.65,25,0
e1-5,binary,5,bot_1,205,w,31,32.81,25,0
e1-5,binary,5,bot_1,205,w,33,6.15,25,0
e1-5,binary,5,bot_1,205,w,35,22,25,0
e1-5,binary,5,bot_1,205,w,37,43.55,25,0
e1-5,binary,5,bot_1,205,w,39,7.65,25,0
e1-5,binary,5,bot_1,205,w,41,15.51,25,0
e1-5,binary,5,bot_1,205,w,43,14.92,25,0
e1-5,binary,5,bot_1,205,w,45,3.76,25,0
e1-5,binary,5,bot_1,205,w,47,6.57,25,0
e1-5,binary,5,bot_1,205,w,49,3.45,25,0
e1-5,binary,5,bot_1,205,w,51,4.88,25,0
e1-5,binary,5,bot_1,205,w,53,12.9,25,0
e1-5,binary,5,bot_1,205,w,55,14.76,25,0
e1-5,binary,5,bot_1,205,w,57,20.46,25,0
e1-5,binary,5,bot_1,205,w,59,9.85,25,0
e1-5,binary,5,bot_2,205,b,2,5.34,25,0
e1-5,binary,5,bot_2,205,b,4,5.62,25,0
e1-5,binary,5,bot_2,205,b,6,5.04,25,0
e1-5,binary,5,bot_2,205,b,8,4.21,25,0
e1-5,binary,5,bot_2,205,b,10,4.81,25,0
e1-5,binary,5,bot_2,205,b,12,7.25,25,0
e1-5,binary,5,bot_2,205,b,14,6.55,25,0
e1-5,binary,5,bot_2,205,b,16,7.85,25,0
e1-5,binary,5,bot_2,205,b,18,5.6,25,0
e1-5,binary,5,bot_2,205,b,20,9.64,25,0
e1-5,binary,5,bot_2,205,b,22,9.21,25,0
e1-5,binary,5,bot_2,205,b,24,8.92,25,0
e1-5,binary,5,bot_2,205,b,26,7.7,25,0
e1-5,binary,5,bot_2,205,b,28,7.59,25,0
e1-5,binary,5,bot_2,205,b,30,18.73,25,0
e1-5,binary,5,bot_2,205,b,32,17.47,25,0
e1-5,binary,5,bot_2,205,b,34,10.5,25,0
e1-5,binary,5,bot_2,205,b,36,25.59,25,0
e1-5,binary,5,bot_2,205,b,38,17.32,25,0
e1-5,binary,5,bot_2,205,b,40,15.55,25,0
e1-5,binary,5,bot_2,205,b,42,19.45,25,0
e1-5,binary,5,bot_2,205,b,44,5.2,25,0
e1-5,binary,5,bot_2,205,b,46,3.9,25,0
e1-5,binary,5,bot_2,205,b,48,16.23,25,0
e1-5,binary,5,bot_2,205,b,50,4.19,25,0
e1-5,binary,5,bot_2,205,b,52,23.84,25,0
e1-5,binary,5,bot_2,205,b,54,16.89,25,0
e1-5,binary,5,bot_2,205,b,56,25.89,25,0
e1-5,binary,5,bot_2,205,b,58,10.44,25,0
e1-5,binary,5,bot_2,205,b,60,18.55,25,0
e1-5,binary,5,bot_3,206,w,1,3.88,25,0
e1-5,binary,5,bot_3,206,w,3,3.47,25,0
e1-5,binary,5,bot_3,206,w,5,3.46,25,0
e1-5,binary,5,bot_3,206,w,7,75.88,25,0
e1-5,binary,5,bot_3,206,w,9,9.7,25,0
e1-5,binary,5,bot_3,206,w,11,3.08,25,0
e1-5,binary,5,bot_3,206,w,13,2.25,25,0
e1-5,binary,5,bot_3,206,w,15,7.12,25,0
e1-5,binary,5,bot_3,206,w,17,4.33,25,0
e1-5,binary,5,bot_3,206,w,19,4.6,25,0
e1-5,binary,5,bot_3,206,w,21,4.98,25,0
e1-5,binary,5,bot_3,206,w,23,9.36,25,0
e1-5,binary,5,bot_3,206,w,25,10.52,25,0
e1-5,binary,5,bot_3,206,w,27,9.06,25,0
e1-5,binary,5,bot_3,206,w,29,9.92,25,0
e1-5,binary,5,bot_3,206,w,31,16.49,25,0
e1-5,binary,5,bot_3,206,w,33,25.67,25,0
e1-5,binary,5,bot_3,206,w,35,16.17,25,0
e1-5,binary,5,bot_3,206,w,37,5.46,25,0
e1-5,binary,5,bot_3,206,w,39,7.02,25,0
e1-5,binary,5,bot_3,206,w,41,28.4,25,0
e1-5,binary,5,bot_3,206,w,43,3.03,25,0
e1-5,binary,5,bot_3,206,w,45,29.57,25,0
e1-5,binary,5,bot_3,206,w,47,23.79,25,0
e1-5,binary,5,bot_3,206,w,49,3.58,25,0
e1-5,binary,5,bot_3,206,w,51,6.43,25,0
e1-5,binary,5,bot_3,206,w,53,3.27,25,0
e1-5,binary,5,bot_3,206,w,55,13.78,25,0
e1-5,binary,5,bot_3,206,w,57,4.86,25,0
e1-5,binary,5,bot_3,206,w,59,4.13,25,0
e1-5,binary,5,bot_4,206,b,2,3.94,25,0
e1-5,binary,5,bot_4,206,b,4,3.47,25,0
e1-5,binary,5,bot_4,206,b,6,3.54,25,0
e1-5,binary,5,bot_4,206,b,8,12.33,25,0
e1-5,binary,5,bot_4,206,b,10,3.14,25,0
e1-5,binary,5,bot_4,206,b,12,3.39,25,0
e1-5,binary,5,bot_4,206,b,14,4.84,25,0
e1-5,binary,5,bot_4,206,b,16,3.59,25,0
e1-5,binary,5,bot_4,206,b,18,4.12,25,0
e1-5,binary,5,bot_4,206,b,20,13.49,25,0
e1-5,binary,5,bot_4,206,b,22,10.89,25,0
e1-5,binary,5,bot_4,206,b,24,18.87,25,0
e1-5,binary,5,bot_4,206,b,26,19.22,25,0
e1-5,binary,5,bot_4,206,b,28,14.71,25,0
e1-5,binary,5,bot_4,206,b,30,11.58,25,0
e1-5,binary,5,bot_4,206,b,32,19.72,25,0
