label,format,games,username,game_id,color,ply,rtt_ms,applied_bytes,think_ms,charged_ms,drift_ms,warmup
e4-truc-tiep,binary,1,bot_201,4636,w,1,21.96,25,68.06,71,2.94,0
e4-truc-tiep,binary,1,bot_201,4636,w,3,3.74,25,58.26,60,1.74,0
e4-truc-tiep,binary,1,bot_201,4636,w,5,4.29,25,58.72,61,2.28,0
e4-truc-tiep,binary,1,bot_201,4636,w,7,2.62,25,57.38,58,0.63,0
e4-truc-tiep,binary,1,bot_201,4636,w,9,3.44,25,58.08,59,0.92,0
e4-truc-tiep,binary,1,bot_201,4636,w,11,3.26,25,61.45,63,1.55,0
e4-truc-tiep,binary,1,bot_201,4636,w,13,3.27,25,59.29,60,0.71,0
e4-truc-tiep,binary,1,bot_201,4636,w,15,3.73,25,60.42,62,1.58,0
e4-truc-tiep,binary,1,bot_201,4636,w,17,3.15,25,58.45,60,1.55,0
e4-truc-tiep,binary,1,bot_201,4636,w,19,3.7,25,56.57,59,2.43,0
e4-truc-tiep,binary,1,bot_201,4636,w,21,3.12,25,58.56,60,1.44,0
e4-truc-tiep,binary,1,bot_201,4636,w,23,2.88,25,59.4,60,0.6,0
e4-truc-tiep,binary,1,bot_201,4636,w,25,2.73,25,64.75,67,2.25,0
e4-truc-tiep,binary,1,bot_201,4636,w,27,2.96,25,60.9,61,0.1,0
e4-truc-tiep,binary,1,bot_201,4636,w,29,3.91,25,57.67,60,2.33,0
e4-truc-tiep,binary,1,bot_201,4636,w,31,2.85,25,58.71,60,1.29,0
e4-truc-tiep,binary,1,bot_201,4636,w,33,3.24,25,54,56,2,0
e4-truc-tiep,binary,1,bot_201,4636,w,35,2.98,25,59.52,59,-0.52,0
e4-truc-tiep,binary,1,bot_201,4636,w,37,2.5,25,62.86,64,1.14,0
e4-truc-tiep,binary,1,bot_201,4636,w,39,3.23,25,59.92,62,2.08,0
e4-truc-tiep,binary,1,bot_202,4636,b,2,4.86,25,64.57,69,4.43,0
e4-truc-tiep,binary,1,bot_202,4636,b,4,4.29,25,62.73,64,1.27,0
e4-truc-tiep,binary,1,bot_202,4636,b,6,2.95,25,55.14,56,0.86,0
e4-truc-tiep,binary,1,bot_202,4636,b,8,4.24,25,60.62,61,0.38,0
e4-truc-tiep,binary,1,bot_202,4636,b,10,3.76,25,59.74,61,1.26,0
e4-truc-tiep,binary,1,bot_202,4636,b,12,4.21,25,55.18,57,1.82,0
e4-truc-tiep,binary,1,bot_202,4636,b,14,3.57,25,58.23,58,-0.23,0
e4-truc-tiep,binary,1,bot_202,4636,b,16,3.97,25,58.45,61,2.55,0
e4-truc-tiep,binary,1,bot_202,4636,b,18,4.09,25,61.73,62,0.27,0
e4-truc-tiep,binary,1,bot_202,4636,b,20,3.47,25,60.68,61,0.32,0
e4-truc-tiep,binary,1,bot_202,4636,b,22,3.83,25,59,60,1,0
e4-truc-tiep,binary,1,bot_202,4636,b,24,3.8,25,59.48,60,0.52,0
e4-truc-tiep,binary,1,bot_202,4636,b,26,3.38,25,54.56,56,1.44,0
e4-truc-tiep,binary,1,bot_202,4636,b,28,4.01,25,59.3,60,0.7,0
e4-truc-tiep,binary,1,bot_202,4636,b,30,3.78,25,58.98,61,2.02,0
e4-truc-tiep,binary,1,bot_202,4636,b,32,3.27,25,62.02,62,-0.02,0
e4-truc-tiep,binary,1,bot_202,4636,b,34,3.42,25,63.05,64,0.95,0
e4-truc-tiep,binary,1,bot_202,4636,b,36,3.22,25,58.14,59,0.86,0
e4-truc-tiep,binary,1,bot_202,4636,b,38,3.64,25,57.83,59,1.17,0
e4-truc-tiep,binary,1,bot_202,4636,b,40,3,25,59,59,0,0
