label,format,games,username,game_id,color,ply,rtt_ms,applied_bytes,think_ms,charged_ms,drift_ms,warmup
e4-truc-tiep,binary,1,bot_201,4668,w,1,22.2,25,73.51,73,-0.51,0
e4-truc-tiep,binary,1,bot_201,4668,w,3,4.6,25,58.99,57,-1.99,0
e4-truc-tiep,binary,1,bot_201,4668,w,5,4.36,25,54.31,53,-1.31,0
e4-truc-tiep,binary,1,bot_201,4668,w,7,3.55,25,55.79,54,-1.79,0
e4-truc-tiep,binary,1,bot_201,4668,w,9,3.09,25,58.17,57,-1.17,0
e4-truc-tiep,binary,1,bot_201,4668,w,11,3.44,25,58.28,56,-2.28,0
e4-truc-tiep,binary,1,bot_201,4668,w,13,3.12,25,57.47,55,-2.47,0
e4-truc-tiep,binary,1,bot_201,4668,w,15,3.77,25,57.05,55,-2.05,0
e4-truc-tiep,binary,1,bot_201,4668,w,17,3.49,25,56.03,55,-1.03,0
e4-truc-tiep,binary,1,bot_201,4668,w,19,2.55,25,67.28,65,-2.28,0
e4-truc-tiep,binary,1,bot_201,4668,w,21,2.88,25,55.86,53,-2.86,0
e4-truc-tiep,binary,1,bot_201,4668,w,23,2.94,25,58.13,56,-2.13,0
e4-truc-tiep,binary,1,bot_201,4668,w,25,3.47,25,58.29,56,-2.29,0
e4-truc-tiep,binary,1,bot_201,4668,w,27,3,25,57.97,56,-1.97,0
e4-truc-tiep,binary,1,bot_201,4668,w,29,2.68,25,62.48,60,-2.48,0
e4-truc-tiep,binary,1,bot_201,4668,w,31,2.48,25,61.86,61,-0.86,0
e4-truc-tiep,binary,1,bot_201,4668,w,33,3.18,25,64.91,64,-0.91,0
e4-truc-tiep,binary,1,bot_201,4668,w,35,3.27,25,57.28,55,-2.28,0
e4-truc-tiep,binary,1,bot_201,4668,w,37,3.27,25,61.45,60,-1.45,0
e4-truc-tiep,binary,1,bot_201,4668,w,39,3.25,25,57.08,55,-2.08,0
e4-truc-tiep,binary,1,bot_202,4668,b,2,3.6,25,67.4,66,-1.4,0
e4-truc-tiep,binary,1,bot_202,4668,b,4,4.65,25,59.04,55,-4.04,0
e4-truc-tiep,binary,1,bot_202,4668,b,6,3.68,25,61.08,57,-4.08,0
e4-truc-tiep,binary,1,bot_202,4668,b,8,3.94,25,59.24,56,-3.24,0
e4-truc-tiep,binary,1,bot_202,4668,b,10,3.02,25,63.8,60,-3.8,0
e4-truc-tiep,binary,1,bot_202,4668,b,12,3.76,25,61.49,57,-4.49,0
e4-truc-tiep,binary,1,bot_202,4668,b,14,2.88,25,61.98,58,-3.98,0
e4-truc-tiep,binary,1,bot_202,4668,b,16,3.26,25,63.56,61,-2.56,0
e4-truc-tiep,binary,1,bot_202,4668,b,18,4.59,25,65.68,62,-3.68,0
e4-truc-tiep,binary,1,bot_202,4668,b,20,3.59,25,65.23,62,-3.23,0
e4-truc-tiep,binary,1,bot_202,4668,b,22,3.83,25,61.39,58,-3.39,0
e4-truc-tiep,binary,1,bot_202,4668,b,24,3.82,25,60.67,57,-3.67,0
e4-truc-tiep,binary,1,bot_202,4668,b,26,2.66,25,60.91,57,-3.91,0
e4-truc-tiep,binary,1,bot_202,4668,b,28,3.24,25,60.92,58,-2.92,0
e4-truc-tiep,binary,1,bot_202,4668,b,30,2.92,25,59.21,55,-4.21,0
e4-truc-tiep,binary,1,bot_202,4668,b,32,3.53,25,58.49,54,-4.49,0
e4-truc-tiep,binary,1,bot_202,4668,b,34,3.44,25,56.65,53,-3.65,0
e4-truc-tiep,binary,1,bot_202,4668,b,36,3.82,25,59.79,57,-2.79,0
e4-truc-tiep,binary,1,bot_202,4668,b,38,2.97,25,58.72,57,-1.72,0
e4-truc-tiep,binary,1,bot_202,4668,b,40,3.8,25,62.06,59,-3.06,0
