label,format,games,username,game_id,color,login_ms,plies,result,reason,move_p50_ms,rejects,resumes,recovery_ms,moves_lost,waits,bytes_in,bytes_out,error
e7-embedded,binary,20,bot_1,4385,w,190.23,58,0-1,checkmate,12.25,0,0,,0,0,2511,594,
e7-embedded,binary,20,bot_2,4378,b,262.86,60,0-1,resign,9.77,0,0,,0,0,2569,611,
e7-embedded,binary,20,bot_3,4377,w,261.41,60,0-1,resign,11.71,0,0,,0,0,2572,620,
e7-embedded,binary,20,bot_4,4390,b,268.12,60,0-1,resign,16.48,0,0,,0,0,2572,611,
e7-embedded,binary,20,bot_5,4386,b,266.2,60,0-1,resign,15.6,0,0,,0,0,2568,611,
e7-embedded,binary,20,bot_6,4382,w,264.32,60,0-1,resign,16.37,0,0,,0,0,2568,620,
e7-embedded,binary,20,bot_7,4383,w,264.52,60,0-1,resign,12.31,0,0,,0,0,2573,620,
e7-embedded,binary,20,bot_8,4390,w,267.39,60,0-1,resign,10.59,0,0,,0,0,2573,620,
e7-embedded,binary,20,bot_9,4391,w,267.45,60,0-1,resign,9.87,0,0,,0,0,2567,620,
e7-embedded,binary,20,bot_10,4379,w,261.85,60,0-1,resign,11.08,0,0,,0,0,2577,621,
e7-embedded,binary,20,bot_11,4388,b,265.81,60,0-1,resign,13.87,0,0,,0,0,2569,612,
e7-embedded,binary,20,bot_12,4392,b,267.48,60,0-1,resign,17.07,0,0,,0,0,2572,612,
e7-embedded,binary,20,bot_13,4385,b,264.42,58,0-1,checkmate,9.38,0,0,,0,0,2511,595,
e7-embedded,binary,20,bot_14,4395,w,268.47,60,0-1,resign,10.99,0,0,,0,0,2568,621,
e7-embedded,binary,20,bot_15,4377,b,260.27,60,0-1,resign,11.94,0,0,,0,0,2572,612,
e7-embedded,binary,20,bot_16,4392,w,266.91,60,0-1,resign,8.41,0,0,,0,0,2573,621,
e7-embedded,binary,20,bot_17,4389,w,265.53,60,0-1,resign,11.43,0,0,,0,0,2568,621,
e7-embedded,binary,20,bot_18,4387,b,264.74,60,0-1,resign,15.85,0,0,,0,0,2570,612,
e7-embedded,binary,20,bot_19,4379,b,261.25,60,0-1,resign,11.03,0,0,,0,0,2576,612,
e7-embedded,binary,20,bot_20,4383,b,262.96,60,0-1,resign,11.06,0,0,,0,0,2572,612,
e7-embedded,binary,20,bot_21,4380,w,261.51,60,0-1,resign,15.97,0,0,,0,0,2569,621,
e7-embedded,binary,20,bot_22,4394,w,267.26,60,0-1,resign,12.36,0,0,,0,0,2576,621,
e7-embedded,binary,20,bot_23,4393,w,266.71,60,0-1,resign,13.55,0,0,,0,0,2568,621,
e7-embedded,binary,20,bot_24,4394,b,267.29,60,0-1,resign,15.68,0,0,,0,0,2575,612,
e7-embedded,binary,20,bot_25,4386,w,263.46,60,0-1,resign,13.34,0,0,,0,0,2569,621,
e7-embedded,binary,20,bot_26,4395,b,267.61,60,0-1,resign,13.24,0,0,,0,0,2567,612,
e7-embedded,binary,20,bot_27,4396,b,267.99,60,0-1,resign,10.16,0,0,,0,0,2573,612,
e7-embedded,binary,20,bot_28,4396,w,267.68,60,0-1,resign,15.31,0,0,,0,0,2574,621,
e7-embedded,binary,20,bot_29,4384,w,262.41,60,0-1,resign,10.13,0,0,,0,0,2577,621,
e7-embedded,binary,20,bot_30,4387,w,263.47,60,0-1,resign,12.04,0,0,,0,0,2571,621,
e7-embedded,binary,20,bot_31,4381,w,261.09,60,0-1,resign,18.34,0,0,,0,0,2570,621,
e7-embedded,binary,20,bot_32,4382,b,261.55,60,0-1,resign,12.95,0,0,,0,0,2567,612,
e7-embedded,binary,20,bot_33,4391,b,265.24,60,0-1,resign,15.54,0,0,,0,0,2566,612,
e7-embedded,binary,20,bot_34,4378,w,259,60,0-1,resign,14.73,0,0,,0,0,2571,621,
e7-embedded,binary,20,bot_35,4389,b,264.17,60,0-1,resign,15.58,0,0,,0,0,2567,612,
e7-embedded,binary,20,bot_36,4381,b,260.85,60,0-1,resign,15.15,0,0,,0,0,2569,612,
e7-embedded,binary,20,bot_37,4393,b,265.75,60,0-1,resign,16.65,0,0,,0,0,2567,612,
e7-embedded,binary,20,bot_38,4380,b,260.21,60,0-1,resign,17.18,0,0,,0,0,2568,612,
e7-embedded,binary,20,bot_39,4388,w,263.14,60,0-1,resign,11.12,0,0,,0,0,2570,621,
e7-embedded,binary,20,bot_40,4384,b,261.81,60,0-1,resign,10.85,0,0,,0,0,2576,612,
