label,format,games,username,game_id,color,ply,rtt_ms,applied_bytes,think_ms,charged_ms,drift_ms,warmup
e7-embedded,binary,20,bot_1,4385,w,1,18.71,25,90.2,37,-53.2,0
e7-embedded,binary,20,bot_1,4385,w,3,19.45,25,64.03,17,-47.03,0
e7-embedded,binary,20,bot_1,4385,w,5,6.8,25,71.5,16,-55.5,0
e7-embedded,binary,20,bot_1,4385,w,7,1.94,25,84.89,38,-46.89,0
e7-embedded,binary,20,bot_1,4385,w,9,2.37,25,78.04,33,-45.04,0
e7-embedded,binary,20,bot_1,4385,w,11,16.29,25,107.13,60,-47.13,0
e7-embedded,binary,20,bot_1,4385,w,13,20.05,25,76.21,32,-44.21,0
e7-embedded,binary,20,bot_1,4385,w,15,13.12,25,75.9,41,-34.9,0
e7-embedded,binary,20,bot_1,4385,w,17,14.55,25,81.21,48,-33.21,0
e7-embedded,binary,20,bot_1,4385,w,19,9.45,25,71.66,32,-39.66,0
e7-embedded,binary,20,bot_1,4385,w,21,12.39,25,76.4,34,-42.4,0
e7-embedded,binary,20,bot_1,4385,w,23,12.83,25,78.6,37,-41.6,0
e7-embedded,binary,20,bot_1,4385,w,25,26.79,25,102.95,65,-37.95,0
e7-embedded,binary,20,bot_1,4385,w,27,12.25,25,72.77,55,-17.77,0
e7-embedded,binary,20,bot_1,4385,w,29,3.66,25,75.84,32,-43.84,0
e7-embedded,binary,20,bot_1,4385,w,31,7.77,25,94.78,51,-43.78,0
e7-embedded,binary,20,bot_1,4385,w,33,9.19,25,63.6,41,-22.6,0
e7-embedded,binary,20,bot_1,4385,w,35,8,25,71.01,39,-32.01,0
e7-embedded,binary,20,bot_1,4385,w,37,5.47,25,59.51,25,-34.51,0
e7-embedded,binary,20,bot_1,4385,w,39,23.05,25,84.66,42,-42.66,0
e7-embedded,binary,20,bot_1,4385,w,41,14.13,25,67.66,37,-30.66,0
e7-embedded,binary,20,bot_1,4385,w,43,16.73,25,76.75,56,-20.75,0
e7-embedded,binary,20,bot_1,4385,w,45,8.18,25,70.53,42,-28.53,0
e7-embedded,binary,20,bot_1,4385,w,47,7.37,25,94.71,60,-34.71,0
e7-embedded,binary,20,bot_1,4385,w,49,22.46,25,82.52,53,-29.52,0
e7-embedded,binary,20,bot_1,4385,w,51,2.71,25,78.68,40,-38.68,0
e7-embedded,binary,20,bot_1,4385,w,53,5.38,25,94.17,50,-44.17,0
e7-embedded,binary,20,bot_1,4385,w,55,20.65,25,94.86,52,-42.86,0
e7-embedded,binary,20,bot_1,4385,w,57,4.48,25,59.05,53,-6.05,0
e7-embedded,binary,20,bot_2,4378,b,2,9.68,25,54.06,31,-23.06,0
e7-embedded,binary,20,bot_2,4378,b,4,3.7,25,65.12,32,-33.12,0
e7-embedded,binary,20,bot_2,4378,b,6,4.88,25,74.8,33,-41.8,0
e7-embedded,binary,20,bot_2,4378,b,8,18.27,25,70.52,50,-20.52,0
e7-embedded,binary,20,bot_2,4378,b,10,10.99,25,64.34,41,-23.34,0
e7-embedded,binary,20,bot_2,4378,b,12,11.97,25,61.41,45,-16.41,0
e7-embedded,binary,20,bot_2,4378,b,14,16.79,25,76.24,56,-20.24,0
e7-embedded,binary,20,bot_2,4378,b,16,9,25,60.51,36,-24.51,0
e7-embedded,binary,20,bot_2,4378,b,18,9.77,25,84.68,61,-23.68,0
e7-embedded,binary,20,bot_2,4378,b,20,6.09,25,71.57,49,-22.57,0
e7-embedded,binary,20,bot_2,4378,b,22,8.4,25,80.66,52,-28.66,0
e7-embedded,binary,20,bot_2,4378,b,24,1.2,25,64.26,38,-26.26,0
e7-embedded,binary,20,bot_2,4378,b,26,8.78,25,64.58,65,0.42,0
e7-embedded,binary,20,bot_2,4378,b,28,13.46,25,82.18,60,-22.18,0
e7-embedded,binary,20,bot_2,4378,b,30,7.47,25,82.79,63,-19.79,0
e7-embedded,binary,20,bot_2,4378,b,32,8.21,25,61.61,44,-17.61,0
e7-embedded,binary,20,bot_2,4378,b,34,1.98,25,63.39,32,-31.39,0
e7-embedded,binary,20,bot_2,4378,b,36,19.83,25,73.35,42,-31.35,0
e7-embedded,binary,20,bot_2,4378,b,38,22.22,25,63.92,46,-17.92,0
e7-embedded,binary,20,bot_2,4378,b,40,18.22,25,54.19,37,-17.19,0
e7-embedded,binary,20,bot_2,4378,b,42,9.52,25,60.03,39,-21.03,0
e7-embedded,binary,20,bot_2,4378,b,44,29.08,25,90.52,62,-28.52,0
e7-embedded,binary,20,bot_2,4378,b,46,16.3,25,73.55,64,-9.55,0
e7-embedded,binary,20,bot_2,4378,b,48,18.36,25,67.44,53,-14.44,0
e7-embedded,binary,20,bot_2,4378,b,50,9.37,25,86.18,65,-21.18,0
e7-embedded,binary,20,bot_2,4378,b,52,11.33,25,79.35,58,-21.35,0
e7-embedded,binary,20,bot_2,4378,b,54,3.41,25,74.09,44,-30.09,0
e7-embedded,binary,20,bot_2,4378,b,56,3.01,25,73,39,-34,0
e7-embedded,binary,20,bot_2,4378,b,58,26.24,25,72.97,55,-17.97,0
e7-embedded,binary,20,bot_2,4378,b,60,35.1,25,62.69,44,-18.69,0
e7-embedded,binary,20,bot_3,4377,w,1,33.14,25,63.14,50,-13.14,0
e7-embedded,binary,20,bot_3,4377,w,3,18.29,25,53.19,23,-30.19,0
e7-embedded,binary,20,bot_3,4377,w,5,4.57,25,53.99,17,-36.99,0
e7-embedded,binary,20,bot_3,4377,w,7,19.8,25,81.51,42,-39.51,0
e7-embedded,binary,20,bot_3,4377,w,9,9.25,25,63.85,44,-19.85,0
e7-embedded,binary,20,bot_3,4377,w,11,14.06,25,90.1,62,-28.1,0
e7-embedded,binary,20,bot_3,4377,w,13,9.93,25,76.95,51,-25.95,0
e7-embedded,binary,20,bot_3,4377,w,15,5.02,25,64.52,42,-22.52,0
e7-embedded,binary,20,bot_3,4377,w,17,7.35,25,84.32,54,-30.32,0
e7-embedded,binary,20,bot_3,4377,w,19,5.3,25,112.06,85,-27.06,0
e7-embedded,binary,20,bot_3,4377,w,21,4.58,25,88.2,60,-28.2,0
e7-embedded,binary,20,bot_3,4377,w,23,14.79,25,57.84,53,-4.84,0
e7-embedded,binary,20,bot_3,4377,w,25,23.82,25,83.29,59,-24.29,0
e7-embedded,binary,20,bot_3,4377,w,27,9.23,25,102.33,75,-27.33,0
e7-embedded,binary,20,bot_3,4377,w,29,10.1,25,91.36,67,-24.36,0
e7-embedded,binary,20,bot_3,4377,w,31,15.42,25,93.54,64,-29.54,0
e7-embedded,binary,20,bot_3,4377,w,33,18.91,25,55.73,55,-0.73,0
e7-embedded,binary,20,bot_3,4377,w,35,12.73,25,56.12,39,-17.12,0
e7-embedded,binary,20,bot_3,4377,w,37,10.5,25,82.27,61,-21.27,0
e7-embedded,binary,20,bot_3,4377,w,39,11.71,25,74.54,57,-17.54,0
e7-embedded,binary,20,bot_3,4377,w,41,5.88,25,74.81,54,-20.81,0
e7-embedded,binary,20,bot_3,4377,w,43,16.14,25,87.39,56,-31.39,0
