label,format,games,username,game_id,color,login_ms,plies,result,reason,move_p50_ms,rejects,resumes,recovery_ms,moves_lost,waits,bytes_in,bytes_out,error
e7-kill,binary,10,bot_1,4620,b,206.87,40,0-1,resign,18.46,0,0,,0,0,1941,441,
e7-kill,binary,10,bot_2,4619,w,244.19,40,0-1,resign,12.27,0,0,,0,0,1935,450,
e7-kill,binary,10,bot_3,4621,b,244.95,40,0-1,resign,11.1,0,0,,0,0,1942,441,
e7-kill,binary,10,bot_4,4619,b,244.05,40,0-1,resign,15.5,0,0,,0,0,1935,441,
e7-kill,binary,10,bot_5,4618,w,242.87,40,0-1,resign,9.6,0,0,,0,0,1946,450,
e7-kill,binary,10,bot_6,4623,w,244.81,40,0-1,resign,8.96,0,0,,0,0,1951,450,
e7-kill,binary,10,bot_7,4625,b,246.25,40,0-1,resign,11.16,0,0,,0,0,1937,441,
e7-kill,binary,10,bot_8,4625,w,245.92,40,0-1,resign,10.13,0,0,,0,0,1938,450,
e7-kill,binary,10,bot_9,4617,b,241.55,40,0-1,resign,8.87,0,0,,0,0,1944,441,
e7-kill,binary,10,bot_10,4622,w,243.14,40,0-1,resign,9.62,0,0,,0,0,1956,451,
e7-kill,binary,10,bot_11,4618,b,241.31,40,0-1,resign,7.51,0,0,,0,0,1945,442,
e7-kill,binary,10,bot_12,4617,w,240.21,40,0-1,resign,11.67,0,0,,0,0,1945,451,
e7-kill,binary,10,bot_13,4620,w,242.21,40,0-1,resign,11.23,0,0,,0,0,1943,451,
e7-kill,binary,10,bot_14,4622,b,242.73,40,0-1,resign,13.38,0,0,,0,0,1955,442,
e7-kill,binary,10,bot_15,4621,w,242.15,40,0-1,resign,11.97,0,0,,0,0,1944,451,
e7-kill,binary,10,bot_16,4624,w,243.33,40,0-1,resign,8.21,0,0,,0,0,1951,451,
e7-kill,binary,10,bot_17,4623,b,242.89,40,0-1,resign,11.27,0,0,,0,0,1950,442,
e7-kill,binary,10,bot_18,4624,b,243.57,40,0-1,resign,8.29,0,0,,0,0,1950,442,
e7-kill,binary,10,bot_19,4626,w,244.07,40,0-1,resign,8.43,0,0,,0,0,1945,451,
e7-kill,binary,10,bot_20,4626,b,244.14,40,0-1,resign,10.7,0,0,,0,0,1944,442,
