label,format,games,username,game_id,color,ply,rtt_ms,applied_bytes,think_ms,charged_ms,drift_ms,warmup
e7-remote-1-co-cache,binary,20,bot_1,4502,b,2,25.45,25,67.99,29,-38.99,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,4,22.84,25,59.04,49,-10.04,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,6,17.93,25,59.48,43,-16.48,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,8,11.12,25,51.79,39,-12.79,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,10,18.42,25,66.84,34,-32.84,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,12,25,25,65.18,48,-17.18,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,14,16.49,25,61.5,53,-8.5,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,16,24.05,25,70.08,59,-11.08,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,18,18.51,25,69.06,47,-22.06,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,20,10.43,25,83.4,60,-23.4,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,22,21.17,25,82.21,56,-26.21,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,24,19.96,25,61.85,53,-8.85,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,26,17.89,25,83.21,65,-18.21,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,28,19.41,25,80.13,58,-22.13,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,30,8.15,25,77.01,64,-13.01,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,32,22.04,25,93.39,59,-34.39,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,34,5.36,25,65.74,34,-31.74,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,36,17.62,25,79.17,56,-23.17,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,38,10.08,25,68.1,48,-20.1,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,40,15.08,25,105.8,80,-25.8,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,42,10.88,25,85.75,58,-27.75,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,44,7.39,25,93.33,63,-30.33,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,46,4.06,25,84.93,50,-34.93,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,48,20.3,25,68.16,54,-14.16,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,50,12.35,25,61.14,34,-27.14,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,52,5.9,25,64.53,41,-23.53,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,54,11.28,25,112.52,79,-33.52,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,56,26.82,25,92.01,63,-29.01,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,58,13.68,25,76.32,57,-19.32,0
e7-remote-1-co-cache,binary,20,bot_1,4502,b,60,14.16,25,61.68,32,-29.68,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,1,6.68,25,82.39,64,-18.39,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,3,17.59,25,83.35,62,-21.35,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,5,15.31,25,74.38,53,-21.38,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,7,8.22,25,75.41,59,-16.41,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,9,4.23,25,65.94,44,-21.94,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,11,5.85,25,75.36,54,-21.36,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,13,14.58,25,74.65,57,-17.65,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,15,7.56,25,80.68,60,-20.68,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,17,16.63,25,53.37,58,4.63,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,19,28.2,25,72.37,79,6.63,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,21,4.5,25,58.89,60,1.11,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,23,33.31,25,77.91,80,2.09,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,25,33.83,25,71.4,69,-2.4,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,27,10.95,25,70.02,57,-13.02,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,29,27.81,25,89.9,68,-21.9,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,31,8.29,25,71.25,73,1.75,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,33,7.28,25,62.27,51,-11.27,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,35,6.16,25,69.04,48,-21.04,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,37,36.03,25,92.32,76,-16.32,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,39,25.29,25,66.32,60,-6.32,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,41,13.75,25,68.42,59,-9.42,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,43,13.84,25,72.86,61,-11.86,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,45,7.14,25,75.3,58,-17.3,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,47,18.57,25,80.16,57,-23.16,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,49,12.86,25,57.22,41,-16.22,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,51,19.86,25,74.12,58,-16.12,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,53,17.43,25,82.14,64,-18.14,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,55,18.92,25,95.12,77,-18.12,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,57,13.8,25,77.2,65,-12.2,0
e7-remote-1-co-cache,binary,20,bot_2,4510,w,59,5.97,25,58.12,45,-13.12,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,1,5.98,25,83.18,65,-18.18,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,3,13.45,25,87.24,66,-21.24,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,5,9.99,25,79.69,56,-23.69,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,7,6.74,25,76.57,56,-20.57,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,9,3.01,25,67.28,44,-23.28,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,11,5.44,25,70.38,55,-15.38,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,13,13.86,25,75.7,57,-18.7,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,15,31.65,25,81.83,61,-20.83,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,17,14.93,25,55.01,53,-2.01,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,19,25.84,25,74.72,80,5.28,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,21,21.68,25,61.81,61,-0.81,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,23,25.41,25,85.72,85,-0.72,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,25,25.23,25,80.19,77,-3.19,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,27,4.79,25,76.31,60,-16.31,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,29,18.52,25,75.6,76,0.4,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,31,27.86,25,75.98,77,1.02,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,33,5.07,25,64.74,48,-16.74,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,35,3.22,25,57.76,45,-12.76,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,37,32.9,25,95.46,78,-17.46,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,39,19.91,25,71.55,63,-8.55,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,41,11.06,25,71.18,60,-11.18,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,43,9.61,25,77.09,65,-12.09,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,45,22.44,25,78.6,59,-19.6,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,47,9.83,25,57.62,43,-14.62,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,49,8.98,25,61.1,39,-22.1,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,51,13.27,25,80.77,61,-19.77,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,53,8.87,25,90.9,71,-19.9,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,55,19.05,25,108.06,85,-23.06,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,57,7.81,25,83.43,62,-21.43,0
e7-remote-1-co-cache,binary,20,bot_3,4511,w,59,9.73,25,62.43,42,-20.43,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,1,24.04,25,73.46,49,-24.46,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,3,13.83,25,72.77,45,-27.77,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,5,5.57,25,64.12,34,-30.12,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,7,5.45,25,81.46,59,-22.46,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,9,5.12,25,68.29,47,-21.29,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,11,24.21,25,76.4,53,-23.4,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,13,30.23,25,54.91,54,-0.91,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,15,29.16,25,58.88,48,-10.88,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,17,16.37,25,64.47,62,-2.47,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,19,15.48,25,53.46,46,-7.46,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,21,15.61,25,80.38,67,-13.38,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,23,30.51,25,73.97,71,-2.97,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,25,21.05,25,77.53,52,-25.53,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,27,18.2,25,66.52,60,-6.52,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,29,28.8,25,71.27,72,0.73,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,31,7.67,25,71.49,62,-9.49,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,33,2.77,25,65.8,50,-15.8,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,35,14.7,25,63.42,51,-12.42,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,37,20.86,25,72.13,69,-3.13,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,39,11.29,25,71.71,56,-15.71,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,41,9.38,25,75.21,69,-6.21,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,43,7.73,25,64.05,54,-10.05,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,45,6.15,25,63.14,50,-13.14,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,47,8.57,25,72.33,52,-20.33,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,49,1.55,25,69.12,48,-21.12,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,51,18.18,25,57.11,53,-4.11,0
e7-remote-1-co-cache,binary,20,bot_4,4499,w,53,8.4,25,57.93,42,-15.93,0
