elapsed_s,threads,heap_mb,games,db_queue
0,20,44,41,0
5,20,45,50,0
10,20,47,50,0
15,20,12,50,0
20,20,15,50,0
25,20,19,50,0
30,20,22,50,0
35,20,25,50,0
40,20,29,50,0
45,20,33,50,0
50,20,36,49,0
55,20,39,50,0
60,20,43,50,0
65,20,46,50,0
70,20,49,50,0
75,20,52,50,0
80,20,55,49,0
85,20,58,49,0
90,20,61,49,0
95,20,65,49,0
100,20,67,49,0
105,20,71,49,0
110,20,74,49,0
115,20,77,49,0
120,20,80,49,0
125,20,83,49,0
130,20,86,49,0
135,20,89,49,0
140,20,92,49,0
145,20,94,49,0
150,20,97,49,0
155,20,101,48,0
160,20,104,47,0
165,20,107,47,0
170,20,23,47,0
175,20,23,47,0
180,20,24,47,0
185,20,31,47,0
190,20,31,47,0
195,20,37,47,0
200,20,39,47,0
205,20,39,46,0
210,20,47,47,0
215,20,47,47,0
220,20,49,47,0
225,20,55,47,0
230,20,55,47,0
235,20,58,47,0
240,20,62,47,0
245,20,64,47,0
250,20,67,46,0
255,20,69,46,0
260,20,71,46,0
265,20,77,46,0
270,20,79,46,0
275,20,81,46,0
280,20,84,45,0
285,20,87,45,0
290,20,89,45,0
295,20,92,44,0
300,20,93,44,0
305,20,97,44,0
310,20,100,44,0
315,20,102,44,0
320,20,107,44,0
325,20,109,44,0
330,20,110,44,0
335,20,115,44,0
340,20,116,44,0
345,20,119,44,0
350,20,121,43,0
355,20,123,43,0
360,20,125,43,0
365,20,129,43,0
370,20,132,43,0
375,20,133,43,0
380,20,137,43,0
385,20,30,43,0
390,20,32,43,0
395,20,33,42,0
400,20,36,42,0
405,20,39,42,0
410,20,41,42,0
415,20,43,42,0
420,20,47,40,0
425,20,50,42,0
430,20,53,42,0
435,20,55,42,0
440,20,56,42,0
445,20,61,42,0
450,20,63,42,0
455,20,64,42,0
460,20,66,42,0
465,20,71,42,0
470,20,72,42,0
475,20,42,41,0
480,20,43,41,0
485,20,44,41,0
490,20,49,41,0
495,20,50,40,0
500,20,53,39,0
505,20,55,39,0
510,20,58,39,0
515,20,60,39,0
520,20,62,39,0
525,20,65,39,0
530,20,67,39,0
535,20,71,38,0
540,20,72,38,0
545,20,75,38,0
550,20,78,38,0
555,20,80,38,0
560,20,82,38,0
565,20,84,38,0
570,20,86,38,0
575,20,90,38,0
580,20,92,38,0
585,20,95,38,0
590,20,98,38,0
595,20,99,38,0
600,20,100,38,0
