username,login_ms,rtt_ms,bytes_in,bytes_out,error
bot_1,8.05,48.38,165,95,
bot_2,10.93,44.46,165,95,
bot_3,23.18,16.03,165,95,
bot_4,29.34,11.84,166,95,
bot_5,7.39,27.67,166,95,
bot_6,18.06,18.76,166,95,
bot_7,32.16,43.67,166,95,
bot_8,15.85,40.81,166,95,
bot_9,19.53,66.47,166,95,
bot_10,32.91,54.28,167,96,
bot_11,24.73,49.69,167,96,
bot_12,22.73,49.96,167,96,
bot_13,10.73,42.26,167,96,
bot_14,28.87,31.66,167,96,
bot_15,5.5,61.14,167,96,
bot_16,12.21,40.66,167,96,
bot_17,80.04,11.72,167,96,
bot_18,50.3,40.02,167,96,
bot_19,40.29,49.48,167,96,
bot_20,81.36,10.17,167,96,
bot_21,51.74,38.23,167,96,
bot_22,82.33,8.99,167,96,
bot_23,88.53,3.08,167,96,
bot_24,67.16,23.08,167,96,
bot_25,60.58,29.34,167,96,
bot_26,62.04,27.86,167,96,
bot_27,72.55,17.83,167,96,
bot_28,63.46,26.2,167,96,
bot_29,36.97,51.54,167,96,
bot_30,69.23,20.61,167,96,
bot_31,40.66,47.81,167,96,
bot_32,43.98,44.59,167,96,
bot_33,55.63,33.28,167,96,
bot_34,58.33,30.65,167,96,
bot_35,67.21,21.95,167,96,
bot_36,76.47,13.01,167,96,
bot_37,84.05,5.83,167,96,
bot_38,82.08,7.6,167,96,
bot_39,32.05,55.17,167,96,
bot_40,51.99,35.94,167,96,
bot_41,69.35,19.33,167,96,
bot_42,72.71,15.99,167,96,
bot_43,40.94,46.21,167,96,
bot_44,33.28,53.51,167,96,
bot_45,84.67,4.5,167,96,
bot_46,73.92,14.52,167,96,
bot_47,62.93,24.78,167,96,
bot_48,55.28,32.07,167,96,
bot_49,43.72,43.05,167,96,
bot_50,45.24,41.5,167,96,
