username,color,login_ms,plies,result,reason,move_p50_ms,rejects,bytes_in,bytes_out,error
bot_1,b,177.07,300,0-1,resign,15.82,0,10043,2632,
bot_2,b,236.53,265,1/2-1/2,draw_insufficient,13.71,0,8966,2326,
bot_3,w,238.53,300,0-1,resign,13.37,0,10055,2641,
bot_4,b,235.41,300,0-1,resign,15.11,0,10050,2632,
bot_5,b,236.65,119,1-0,checkmate,16.11,0,4344,1085,
bot_6,b,236.76,300,0-1,resign,14.33,0,10051,2632,
bot_7,b,238.16,300,0-1,resign,12.46,0,10051,2632,
bot_8,w,233.76,300,0-1,resign,13.14,0,10033,2641,
bot_9,b,236.16,300,0-1,resign,12.97,0,10048,2632,
bot_10,w,233.74,300,0-1,resign,13.9,0,10057,2642,
bot_11,b,234.45,300,0-1,resign,17.64,0,10050,2633,
bot_12,w,233.8,300,0-1,resign,12.2,0,10064,2642,
bot_13,w,234.09,300,0-1,resign,12.63,0,10051,2642,
bot_14,w,236.47,300,0-1,resign,14.57,0,10047,2642,
bot_15,b,236.07,300,0-1,resign,14.19,0,10055,2633,
bot_16,b,234.46,300,0-1,resign,13.39,0,10069,2633,
bot_17,w,232.21,300,0-1,resign,12.98,0,10050,2642,
bot_18,b,236.16,300,0-1,resign,13.34,0,10046,2633,
bot_19,b,232.84,300,0-1,resign,16.21,0,10056,2633,
bot_20,b,236.14,300,0-1,resign,13.54,0,10061,2633,
bot_21,b,236.25,300,0-1,resign,12.98,0,10053,2633,
bot_22,w,233.77,300,0-1,resign,14.89,0,10070,2642,
bot_23,w,235.99,300,0-1,resign,15.81,0,10054,2642,
bot_24,w,234.23,300,0-1,resign,15.3,0,10045,2642,
bot_25,w,235.59,300,0-1,resign,14.29,0,10062,2642,
bot_26,w,233.09,300,0-1,resign,13.06,0,10045,2642,
bot_27,b,234.08,300,0-1,resign,13.59,0,10044,2633,
bot_28,b,234.65,283,1/2-1/2,stalemate,13.77,0,9530,2480,
bot_29,w,232.94,119,1-0,checkmate,16.33,0,4343,1103,
bot_30,b,231.22,300,0-1,resign,16.16,0,10049,2633,
bot_31,b,230.76,300,0-1,resign,15.23,0,10032,2633,
bot_32,b,234.11,300,0-1,resign,12.89,0,10054,2633,
bot_33,w,233,300,0-1,resign,17.18,0,10052,2642,
bot_34,b,231.87,300,0-1,resign,15,0,10063,2633,
bot_35,w,231.78,265,1/2-1/2,draw_insufficient,17.04,0,8966,2344,
bot_36,w,233.52,300,0-1,resign,16.52,0,10055,2642,
bot_37,w,233.65,283,1/2-1/2,stalemate,14.55,0,9531,2497,
bot_38,w,230.64,300,0-1,resign,13.32,0,10051,2642,
bot_39,w,232.53,300,0-1,resign,13.45,0,10049,2642,
bot_40,w,233.76,300,0-1,resign,18.59,0,10052,2642,
